point_id,x,y
P1,0.000,0.000
P2,22.473,-5.169
P3,81.418,-7.036
P4,83.500,-23.765
P5,86.588,-28.360
P6,88.885,-57.438
P7,92.475,-92.834
P8,86.803,-92.834
P9,87.736,-156.016
P10,63.612,-158.098
P11,64.474,-161.975
P12,39.201,-162.836
P13,32.883,-89.890
P14,4.595,-86.947
