point_id,x,y
P1,586,558
P2,892,626
P3,1718,650
P4,1738,876
P5,1786,946
P6,1824,1354
P7,1876,1862
P8,1783,1873
P9,1804,2733
P10,1468,2762
P11,1472,2815
P12,1115,2861
P13,1020,1841
P14,734,1804
P15,646,1783
